C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.14CEST22:27:39

 IdentList
----------

 # ;typed ident;            identifier             ;typ;             all types             ;     coord1 (ICRS,J2000/2000)      ;      coord4 (Gal,J2000/2000)      ;        pm         ;  plx  ; radvel  ;  redshift  ;    cz    ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;morph. type;#bib;#not
---;-----------;-----------------------------------;---;-----------------------------------;-----------------------------------;-----------------------------------;-------------------;-------;---------;------------;----------;------;------;------;------;------;---------------;-----------;----;----
61 ;HD 216536  ;HD 216536                          ;*  ;*,IR                               ;343.2665502236029 +44.4777432167014;101.6898336384771 -13.4569257523446;   2.296 -2.998    ;   2.63;-17.17   ;-0.000057   ;-17.17    ;     ~;10.42 ; 9.23 ;     ~;     ~;K0             ;~ ~ ~      ;   9;   0
62 ;HD 45364   ;HD 45364                           ;PM*;*,PM*,IR                           ;096.4103101047600 -31.4809523545406;239.3549817733571 -18.8670407385478; 52.182 -11.926    ;  29.08;16.39    ;0.000055    ;16.39     ;     ~; 8.82 ; 8.06 ;     ~;     ~;G8V            ;~ ~ ~      ;  98;   1
63 ;HD 65216   ;HD 65216                           ;PM*;**,**,*,PM*,IR                     ;118.4221637938900 -63.6473203359956;276.2744488685488 -17.6141518606934;-123.633 146.578   ;  28.44;42.65    ;0.000142    ;42.65     ;     ~; 8.65 ; 7.96 ;     ~;     ~;G5V            ;~ ~ ~      ; 105;   1
64 ;HD 87646   ;HD 87646                           ;** ;**,*,IR                            ;151.6699185036767 +17.8950960655478;217.7724634588358 +51.0283904096381;-82.884 -27.078    ;   7.40;21.10    ;0.000070    ;21.10     ;     ~; 8.73 ; 8.07 ;     ~;     ~;G1IV           ;~ ~ ~      ;  48;   0
65 ;HD 31527   ;HD 31527                           ;PM*;*,PM*,IR                           ;073.9099281324517 -23.2418774871964;223.3892029143085 -35.1533548131675;-65.899 130.339    ;  25.98;25.67    ;0.000086    ;25.67     ;     ~; 8.071; 7.484; 7.24 ; 8.88 ;G0V            ;~ ~ ~      ;  72;   1
66 ;HD 220842  ;HD 220842                          ;PM*;*,PM*,IR                           ;351.6541185684334 +56.8865252432503;111.5055948966431 -04.0916110124581;-89.123 143.120    ;  15.44;-22.63   ;-0.000075   ;-22.63    ;     ~;     ~;     ~; 7.6  ;     ~;F8             ;~ ~ ~      ;  36;   0
67 ;HIP 116454 ;BD-00 4534                         ;PM*;*,PM*,PM*,PM*,IR                   ;353.9553544983929 +00.4455118786864;086.4611820847342 -56.9729087822849;-232.909 -187.564  ;  15.98;-3.22    ;-0.000011   ;-3.22     ;     ~;11.10 ;     ~; 9.6  ;     ~;K0             ;~ ~ ~      ;  37;   0
68 ;HD 11977   ;* eta02 Hyi                        ;PM*;*,PM*,IR,UV                        ;028.7338835411004 -67.6473040626842;293.9255148269321 -48.3554792057433;  75.680 73.609    ;  14.69;-17.93   ;-0.000060   ;-17.93    ;     ~; 5.623; 4.685;     ~;     ~;G8IIIb         ;~ ~ ~      ;  90;   1
69 ;HD 63765   ;HD 63765                           ;PM*;*,PM*,IR                           ;116.9571676225000 -54.2641442708975;267.1966569715389 -14.0944071697204;148.414 -278.869   ;  30.70;22.55    ;0.000075    ;22.55     ;     ~; 8.85 ; 8.10 ;     ~;     ~;G9V            ;~ ~ ~      ;  66;   1
70 ;HD 17674   ;HD 17674                           ;PM*;*,*,*,*,PM*,IR,IR                  ;042.7678566275475 +30.2867399809022;151.5181085699555 -25.8618299872888;128.315 -32.948    ;  22.48;10.54    ;0.000035    ;10.54     ;     ~; 8.25 ; 7.76 ; 8.30 ;     ~;G0V            ;~ ~ ~      ;  44;   0
