recno,Star,Teff,e_Teff,logg,e_logg,loggHIP,e_loggHIP,[Fe/H],e_[Fe/H],vtur,e_vtur,loggcor,SimbadName,_RA,_DE
874,"HD117618",5990,13.0,4.41,0.02,4.34,0.03,0.03,0.01,1.13,0.01,4.32,"HD117618",203.10648,-47.27136
603,"HD114853",5705,14.0,4.44,0.02,4.43,0.02,-0.23,0.01,0.92,0.02,4.42,"HD114853",198.46761,-45.1858
320,"HD122308",5253,30.0,4.44,0.05,4.57,0.09,-0.32,0.02,0.59,0.06,4.53,"HD122308",210.63571,-52.64486
763,"HD124785",5867,21.0,4.2,0.03,3.83,0.19,-0.56,0.02,1.29,0.03,4.14,"HD124785",214.23916,-50.28136
437,"HD126803",5470,18.0,4.48,0.04,4.4,0.09,-0.61,0.02,0.56,0.05,4.52,"HD126803",217.26356,-46.74112
505,"HD124364",5584,14.0,4.48,0.02,4.57,0.05,-0.27,0.01,0.83,0.02,4.49,"HD124364",213.60343,-48.14664
1005,"HD119629",6250,29.0,4.17,0.03,3.97,0.05,-0.17,0.02,1.73,0.04,3.99,"HD119629",206.36384,-48.79166
591,"HD121004",5687,26.0,4.48,0.03,4.42,0.11,-0.71,0.02,0.76,0.05,4.46,"HD121004",208.49215,-46.53876
817,"HD123651",5926,30.0,4.55,0.03,4.33,0.07,-0.48,0.02,1.05,0.05,4.47,"HD123651",212.52006,-46.26945
188,"HIP69224",4927,36.6,4.26,0.1,4.49,0.11,-0.17,0.02,0.33,0.14,4.45,"HIP69224",212.59053,-44.97932
207,"HD130930",4963,67.0,4.39,0.17,4.5,0.07,-0.01,0.03,0.44,0.18,4.56,"HD130930",223.0739,-43.8182
66,"HD125595",4636,83.9,4.2,0.26,4.56,0.05,0.09,0.04,0.29,0.37,4.48,"HD125595",215.34661,-40.39395
684,"HD108309",5775,14.0,4.23,0.03,4.2,0.02,0.12,0.01,1.08,0.01,4.19,"HD108309",186.70059,-48.91319
509,"HD106589",5597,21.0,4.37,0.04,4.35,0.1,-0.23,0.02,0.67,0.03,4.37,"HD106589",183.90278,-48.4162
493,"HD107094",5562,17.0,4.54,0.03,4.48,0.09,-0.51,0.01,0.74,0.03,4.55,"HD107094",184.73527,-45.88154
41,"HD109368",4572,71.9,4.32,0.3,4.65,0.08,-0.16,0.04,0.28,0.35,4.63,"HD109368",188.60831,-46.50649
779,"HD109409",5886,26.0,4.16,0.03,4.08,0.03,0.33,0.02,1.24,0.02,4.09,"HD109409",188.67664,-44.67302
255,"HD114076",5066,25.1,4.34,0.07,4.4,0.09,-0.47,0.02,0.41,0.1,4.48,"HD114076",197.14136,-41.64415
1028,"HD115773",6312,26.0,4.23,0.03,4.03,0.05,-0.08,0.02,1.57,0.03,4.02,"HD115773",199.9929,-41.19066
638,"HD114613",5729,17.0,3.97,0.02,3.91,0.01,0.19,0.01,1.18,0.02,3.94,"HD114613",198.01327,-37.80302
676,"HD113679",5768,28.0,4.26,0.02,4.18,0.23,-0.61,0.02,1.08,0.04,4.22,"HD113679",196.4701,-38.51667
797,"HD105837",5907,17.0,4.54,0.03,4.37,0.03,-0.51,0.01,1.14,0.03,4.47,"HD105837",182.74139,-46.32198
40,"HD105671",4571,104.0,4.41,0.27,4.58,0.04,0.09,0.08,0.23,0.84,4.72,"HD105671",182.47909,-46.20839
551,"HD109723",5647,29.0,4.47,0.06,4.6,0.09,-0.04,0.02,0.88,0.04,4.46,"HD109723",189.28531,-41.99539
931,"HD108063",6081,49.0,4.11,0.06,3.82,0.03,0.55,0.04,1.54,0.04,3.99,"HD108063",186.28549,-42.51431
242,"HD109423",5040,54.0,4.39,0.11,4.64,0.05,-0.06,0.03,0.63,0.12,4.54,"HD109423",188.70296,-41.2346
838,"HD104760A",5953,18.0,4.43,0.03,4.38,0.11,0.12,0.01,1.02,0.02,4.34,"HD104760",180.94289,-44.12281
522,"HD110619",5613,15.0,4.51,0.02,4.49,0.03,-0.41,0.01,0.83,0.03,4.51,"HD110619",190.92802,-37.70814
752,"HD110668",5850,26.0,4.45,0.03,4.41,0.06,0.17,0.02,0.98,0.03,4.39,"HD110668",190.99318,-35.12311
274,"HD109988",5100,47.7,4.31,0.11,4.41,0.07,0.13,0.03,0.6,0.11,4.44,"HD109988",189.81569,-32.72608
172,"HD116883",4904,49.8,4.4,0.12,4.53,0.09,-0.22,0.02,0.65,0.13,4.59,"HD116883",201.82536,-39.95281
443,"HD118563",5477,27.0,4.45,0.04,4.57,0.07,-0.04,0.02,0.68,0.05,4.48,"HD118563",204.61841,-38.3203
