recno,Star,Teff,logg,[Fe/H],Age,e_Age,vsini,vmac,[S/Fe],e_[S/Fe],o_[S/Fe],Planet,Pop,S/N,SimbadName,_RA,_DE
588,"HD119638",6069.0,4.31,-0.15,4.881,1.48,1.383,4.321,0.032,0.022,"2","none","thin ",1163.5,"HD119638",206.18584,-14.22518
494,"HD116410",5939.0,4.35,0.23,1.234,1.05,3.1,3.82,-0.085,0.03,"2","none","thin ",153.88,"HD116410",200.92174,-15.11802
290,"HD122474",5716.0,4.34,0.13,5.495,2.519,1.537,3.275,0.014,0.032,"2","none","thin ",90.57,"HD122474",210.58356,-12.03712
279,"HD115902",5705.0,4.37,-0.01,7.159,2.86,2.055,3.193,-0.041,0.039,"2","none","thin ",98.76,"HD115902",200.09193,-9.05972
585,"HD115341",6058.0,4.44,-0.01,1.583,1.297,2.765,4.023,0.005,0.028,"2","none","thin ",98.02,"HD115341",199.16696,-5.5735
263,"HD125184",5680.0,4.08,0.27,6.375,1.245,2.014,3.723,-0.075,0.044,"2","none","thin ",269.44,"HD125184",214.50303,-7.54239
35,"HD125455",5095.0,4.53,-0.21,7.375,4.781,0.385,2.371,-0.026,0.099,"2","none","thin ",398.41,"HD125455",214.89526,-5.15119
83,"HD123265",5338.0,4.36,0.19,7.036,4.458,0.752,2.733,0.033,0.063,"2","none","hamr ",354.26,"HD123265",211.672,-5.51834
130,"HD124292",5443.0,4.41,-0.13,8.486,4.019,0.631,2.715,0.027,0.047,"2","none","thin ",975.63,"HD124292",213.18849,-3.32008
94,"HD130322",5365.0,4.43,-0.02,5.725,4.399,1.054,2.61,-0.133,0.052,"2","jup ","thin ",347.6,"HD130322",221.88636,-0.28147
436,"HD129229",5872.0,3.83,-0.42,3.808,0.22,2.101,4.669,0.041,0.039,"2","none","thin ",225.19,"HD129229",220.32837,3.44877
705,"HD112283",6433.0,4.58,-0.13,1.065,0.892,5.807,5.319,0.051,0.061,"2","none","thin ",115.29,"HD112283",193.92049,-3.55066
27,"HD114783",5060.0,4.51,0.03,6.005,4.882,0.499,2.428,0.054,0.128,"2","jup ","hamr ",841.49,"HD114783",198.18244,-2.26504
376,"HD107148",5805.0,4.35,0.31,2.268,1.667,1.54,3.457,-0.053,0.031,"2","jup ","thin ",110.11,"HD107148",184.80621,-3.31979
447,"HD109098",5888.0,4.07,0.06,5.494,0.771,2.779,4.233,-0.006,0.021,"2","none","thin ",166.08,"HD109098",188.01854,-1.77236
106,"HD111515",5398.0,4.52,-0.61,12.256,1.062,1.028,2.454,0.305,0.11,"2","none","thick",270.06,"HD111515",192.43679,1.18804
487,"HD90936",5928.0,4.4,0.03,2.292,1.818,2.304,3.687,0.017,0.03,"2","none","thin ",134.12,"HD90936",157.38929,-18.24389
284,"HD90722",5711.0,4.26,0.31,5.806,1.405,2.472,3.425,0.019,0.041,"2","none","thin ",115.57,"HD90722",157.05803,-16.28916
389,"HD92719",5824.0,4.46,-0.1,2.741,2.281,2.302,3.284,-0.077,0.031,"2","none","thin ",829.62,"HD92719",160.5555,-13.78771
560,"HD92547",6020.0,4.35,-0.37,8.264,1.699,2.095,4.074,0.101,0.038,"2","none","thin ",125.49,"HD92547",160.23352,-13.12953
469,"HD90081",5912.0,4.27,-0.2,8.492,1.513,1.591,3.901,0.009,0.036,"2","none","thin ",89.51,"HD90081",155.89428,-12.48664
310,"HD89454",5728.0,4.44,0.12,1.812,1.648,2.569,3.101,-0.079,0.027,"2","none","thin ",1159.32,"HD89454",154.81784,-11.37851
108,"HD86171",5400.0,4.52,-0.25,6.183,4.523,0.62,2.456,0.02,0.061,"2","none","thin ",414.46,"HD86171",149.16016,-8.83456
615,"HD87838",6118.0,4.34,-0.4,7.323,1.376,2.568,4.437,0.112,0.033,"2","none","thin ",585.95,"HD87838",151.89087,-6.4392
131,"HD90711",5444.0,4.44,0.24,4.464,3.654,1.498,2.656,0.056,0.054,"2","none","thin ",553.19,"HD90711",157.05062,-6.60058
442,"HD97037",5883.0,4.27,-0.07,7.646,1.302,1.543,3.819,-0.073,0.024,"2","none","thin ",299.03,"HD97037",167.5556,-7.3894
173,"HD100777",5536.0,4.35,0.25,5.739,3.274,0.843,2.945,-0.026,0.037,"2","jup ","thin ",357.4,"HD100777",173.96468,-4.75569
100,"HD98281",5381.0,4.48,-0.26,8.574,4.299,0.608,2.521,-0.011,0.051,"2","none","thin ",1315.66,"HD98281",169.59171,-5.0673
321,"HD92788",5744.0,4.36,0.27,3.379,2.122,2.013,3.295,-0.048,0.033,"2","jup ","thin ",789.87,"HD92788",160.7022,-2.18376
684,"HD95922",6293.0,4.43,-0.06,0.784,0.651,3.224,4.965,-0.034,0.032,"2","none","thin ",103.58,"HD95922",166.00612,-0.03102
43,"HD92588",5105.0,3.73,-0.02,4.424,0.496,2.042,2.5,0.023,0.048,"2","none","hamr ",1837.27,"HD92588",160.35077,-1.74149
237,"HD88725",5654.0,4.48,-0.64,12.736,0.597,1.376,2.874,0.245,0.05,"2","none","thick",857.18,"HD88725",153.53473,3.1513
273,"HD104800",5697.0,4.45,-0.79,13.178,0.053,1.813,3.016,0.315,0.089,"2","none","thick",235.46,"HD104800",181.02318,3.34075
540,"HD109684",5992.0,4.29,-0.34,9.041,1.099,1.837,4.103,0.088,0.03,"2","none","thin ",239.4,"HD109684",189.11851,10.72984
207,"HD166745",5621.0,4.31,0.25,7.486,1.927,1.845,3.155,-0.037,0.047,"2","none","thin ",115.99,"HD166745",273.38846,-33.49906
205,"HD161612",5616.0,4.45,0.16,2.624,2.341,0.641,2.867,-0.068,0.034,"2","none","thin ",663.69,"HD161612",266.98979,-34.01888
694,"HD169830",6361.0,3.98,0.18,2.239,0.2,0.743,6.173,-0.081,0.025,"2","jup ","thin ",1767.74,"HD169830",276.95619,-29.81686
689,"HD160089",6312.0,4.57,0.11,0.745,0.616,6.26,4.769,0.106,0.051,"2","none","thin ",95.57,"HD160089",264.77484,-26.93756
86,"HD162236",5343.0,4.5,-0.12,5.654,4.435,1.54,2.455,0.026,0.062,"2","none","thin ",492.38,"HD162236",267.78055,-27.39637
87,"HD167359",5348.0,4.53,-0.19,6.437,4.576,0.756,2.399,-0.149,0.129,"1-6743","none","thin ",242.9,"HD167359",273.95446,-23.81595
85,"HD165920",5339.0,4.46,0.29,5.388,4.27,0.748,2.533,0.007,0.079,"2","none","thin ",351.68,"HD165920",272.32366,-22.90844
433,"HD165131",5870.0,4.39,0.06,2.668,1.985,2.302,3.544,0.065,0.022,"2","none","thin ",196.02,"HD165131",271.34469,-21.67317
238,"HD171665",5655.0,4.4,-0.05,5.14,3.494,1.843,3.036,-0.022,0.03,"2","none","thin ",408.03,"HD171665",279.3035,-25.67127
673,"HD173885",6264.0,4.18,-0.2,4.144,0.7,3.774,5.339,0.013,0.032,"2","none","thin ",227.36,"HD173885",282.04918,-14.70834
490,"HD156991",5934.0,4.49,-0.07,1.591,1.47,3.459,3.525,0.098,0.04,"2","none","thin ",96.24,"HD156991",260.38172,-22.92593
451,"HD156079",5892.0,4.17,0.28,4.195,0.787,1.532,4.044,-0.034,0.022,"2","none","thin ",279.39,"HD156079",259.09956,-21.85795
135,"HD157172",5451.0,4.43,0.11,5.849,4.079,0.917,2.683,-0.036,0.044,"2","jup ","thin ",723.13,"HD157172",260.64402,-19.61618
136,"HD151504",5457.0,4.4,0.06,8.186,3.885,0.765,2.749,0.013,0.041,"2","none","thin ",510.99,"HD151504",252.13432,-19.28777
543,"HD153276",6000.0,4.38,0.04,3.86,1.695,2.764,3.949,0.024,0.043,"2","none","thin ",102.99,"HD153276",254.74167,-15.812
185,"HD168746",5568.0,4.34,-0.1,11.458,1.59,0.894,3.01,0.004,0.042,"2","jup ","hamr ",211.02,"HD168746",275.45743,-11.92268
142,"HD167677",5474.0,4.47,-0.29,11.525,1.686,0.663,2.628,0.349,0.032,"2","jup ","thick",212.18,"HD167677",274.20646,-11.40586
